Student S10025 named Alexander Campbell, age 12, gender Female, is in Class 9. Scored 56 in Math, 39 in Science, 58 in English, 58 in History, and 39 in Computer, totaling 250 marks with Grade D. Attendance stands at 71.01 percent. Participates in Debate as an extracurricular activity.
Student S16800 named Christine Pearson, age 13, gender Male, is in Class 9. Scored 63 in Math, 82 in Science, 94 in English, 86 in History, and 56 in Computer, totaling 381 marks with Grade C. Attendance stands at 64.70 percent. Participates in Drama as an extracurricular activity.
Student S16807 named Dr. Lisa Henson, age 13, gender Female, is in Class 9. Scored 53 in Math, 36 in Science, 45 in English, 31 in History, and 94 in Computer, totaling 259 marks with Grade D. Attendance stands at 82.37 percent. Participates in Dance as an extracurricular activity.
Student S16810 named Kelly Saunders, age 14, gender Female, is in Class 9. Scored 70 in Math, 81 in Science, 93 in English, 73 in History, and 43 in Computer, totaling 360 marks with Grade C. Attendance stands at 66.96 percent. Participates in Football as an extracurricular activity.
Student S16811 named Lisa Blake, age 12, gender Male, is in Class 9. Scored 57 in Math, 50 in Science, 46 in English, 34 in History, and 51 in Computer, totaling 238 marks with Grade D. Attendance stands at 90.26 percent. Participates in Football as an extracurricular activity.
Student S16813 named Kevin Glover, age 14, gender Female, is in Class 9. Scored 82 in Math, 89 in Science, 63 in English, 95 in History, and 84 in Computer, totaling 413 marks with Grade B. Attendance stands at 90.26 percent. Participates in Music as an extracurricular activity.
Student S16815 named Mark Stephens, age 15, gender Female, is in Class 9. Scored 36 in Math, 94 in Science, 36 in English, 65 in History, and 62 in Computer, totaling 293 marks with Grade D. Attendance stands at 80.08 percent. Participates in Drama as an extracurricular activity.
Student S16818 named Elizabeth Watson, age 13, gender Male, is in Class 9. Scored 65 in Math, 90 in Science, 58 in English, 73 in History, and 58 in Computer, totaling 344 marks with Grade C. Attendance stands at 99.55 percent. Participates in Music as an extracurricular activity.
Student S16819 named Kristin Patterson, age 12, gender Female, is in Class 9. Scored 91 in Math, 91 in Science, 87 in English, 33 in History, and 75 in Computer, totaling 377 marks with Grade C. Attendance stands at 63.31 percent. Participates in Debate as an extracurricular activity.
Student S16823 named Timothy Nicholson, age 17, gender Male, is in Class 9. Scored 89 in Math, 87 in Science, 82 in English, 67 in History, and 44 in Computer, totaling 369 marks with Grade C. Attendance stands at 97.27 percent. Participates in Drama as an extracurricular activity.
Student S16832 named Christine Adams, age 16, gender Female, is in Class 9. Scored 58 in Math, 30 in Science, 73 in English, 95 in History, and 89 in Computer, totaling 345 marks with Grade C. Attendance stands at 66.99 percent. Participates in None as an extracurricular activity.
Student S16844 named Tyler Reyes, age 12, gender Female, is in Class 9. Scored 39 in Math, 73 in Science, 54 in English, 30 in History, and 66 in Computer, totaling 262 marks with Grade D. Attendance stands at 83.88 percent. Participates in None as an extracurricular activity.
Student S16854 named Monique Navarro, age 17, gender Female, is in Class 9. Scored 42 in Math, 50 in Science, 55 in English, 61 in History, and 62 in Computer, totaling 270 marks with Grade D. Attendance stands at 68.74 percent. Participates in None as an extracurricular activity.
Student S16858 named Dana Martin, age 11, gender Male, is in Class 9. Scored 47 in Math, 53 in Science, 77 in English, 56 in History, and 70 in Computer, totaling 303 marks with Grade C. Attendance stands at 95.83 percent. Participates in None as an extracurricular activity.
Student S16869 named Eugene Deleon, age 15, gender Female, is in Class 9. Scored 71 in Math, 80 in Science, 91 in English, 59 in History, and 40 in Computer, totaling 341 marks with Grade C. Attendance stands at 89.49 percent. Participates in Dance as an extracurricular activity.
Student S16873 named Bridget Gates, age 13, gender Female, is in Class 9. Scored 31 in Math, 59 in Science, 96 in English, 85 in History, and 73 in Computer, totaling 344 marks with Grade C. Attendance stands at 62.27 percent. Participates in Football as an extracurricular activity.
Student S16880 named Jeffrey Mccarty, age 11, gender Female, is in Class 9. Scored 93 in Math, 80 in Science, 48 in English, 87 in History, and 54 in Computer, totaling 362 marks with Grade C. Attendance stands at 91.45 percent. Participates in Dance as an extracurricular activity.
Student S16891 named Todd Jordan, age 17, gender Male, is in Class 9. Scored 57 in Math, 89 in Science, 85 in English, 30 in History, and 49 in Computer, totaling 310 marks with Grade C. Attendance stands at 72.83 percent. Participates in None as an extracurricular activity.
Student S16896 named David Bowman, age 14, gender Female, is in Class 9. Scored 77 in Math, 70 in Science, 46 in English, 99 in History, and 89 in Computer, totaling 381 marks with Grade C. Attendance stands at 80.75 percent. Participates in Football as an extracurricular activity.
Student S16906 named David Clark, age 12, gender Female, is in Class 9. Scored 56 in Math, 87 in Science, 96 in English, 73 in History, and 92 in Computer, totaling 404 marks with Grade B. Attendance stands at 91.74 percent. Participates in Debate as an extracurricular activity.
Student S16908 named Cindy Gibson, age 10, gender Female, is in Class 9. Scored 74 in Math, 78 in Science, 64 in English, 47 in History, and 78 in Computer, totaling 341 marks with Grade C. Attendance stands at 70.20 percent. Participates in Music as an extracurricular activity.
Student S16912 named Christopher Larson, age 12, gender Male, is in Class 9. Scored 69 in Math, 82 in Science, 44 in English, 82 in History, and 71 in Computer, totaling 348 marks with Grade C. Attendance stands at 62.83 percent. Participates in None as an extracurricular activity.
Student S16914 named Abigail Christian, age 15, gender Female, is in Class 9. Scored 58 in Math, 46 in Science, 55 in English, 67 in History, and 53 in Computer, totaling 279 marks with Grade D. Attendance stands at 99.71 percent. Participates in Dance as an extracurricular activity.
Student S16922 named Holly Henry, age 15, gender Female, is in Class 9. Scored 89 in Math, 71 in Science, 79 in English, 60 in History, and 79 in Computer, totaling 378 marks with Grade C. Attendance stands at 63.34 percent. Participates in Football as an extracurricular activity.
Student S16924 named Heather Scott, age 11, gender Male, is in Class 9. Scored 80 in Math, 99 in Science, 84 in English, 48 in History, and 77 in Computer, totaling 388 marks with Grade C. Attendance stands at 88.71 percent. Participates in Dance as an extracurricular activity.
Student S16941 named Cynthia Jones, age 10, gender Male, is in Class 9. Scored 73 in Math, 82 in Science, 84 in English, 99 in History, and 48 in Computer, totaling 386 marks with Grade C. Attendance stands at 89.35 percent. Participates in Music as an extracurricular activity.
Student S16942 named Caroline Smith, age 14, gender Male, is in Class 9. Scored 58 in Math, 71 in Science, 76 in English, 97 in History, and 77 in Computer, totaling 379 marks with Grade C. Attendance stands at 71.82 percent. Participates in Debate as an extracurricular activity.
Student S16948 named Colin Klein, age 10, gender Female, is in Class 9. Scored 54 in Math, 30 in Science, 31 in English, 45 in History, and 98 in Computer, totaling 258 marks with Grade D. Attendance stands at 97.05 percent. Participates in Music as an extracurricular activity.
Student S16951 named Chris Wolfe, age 13, gender Female, is in Class 9. Scored 52 in Math, 35 in Science, 57 in English, 51 in History, and 90 in Computer, totaling 285 marks with Grade D. Attendance stands at 84.22 percent. Participates in Dance as an extracurricular activity.
Student S16952 named Lisa Spence, age 10, gender Female, is in Class 9. Scored 82 in Math, 40 in Science, 75 in English, 81 in History, and 54 in Computer, totaling 332 marks with Grade C. Attendance stands at 83.57 percent. Participates in Dance as an extracurricular activity.
Student S16959 named Melissa Hall, age 11, gender Male, is in Class 9. Scored 52 in Math, 72 in Science, 30 in English, 31 in History, and 65 in Computer, totaling 250 marks with Grade D. Attendance stands at 75.09 percent. Participates in Drama as an extracurricular activity.
Student S16964 named Meghan Young, age 10, gender Male, is in Class 9. Scored 67 in Math, 96 in Science, 33 in English, 56 in History, and 46 in Computer, totaling 298 marks with Grade D. Attendance stands at 89.71 percent. Participates in Music as an extracurricular activity.
Student S16965 named Richard Wallace, age 15, gender Female, is in Class 9. Scored 96 in Math, 65 in Science, 64 in English, 38 in History, and 64 in Computer, totaling 327 marks with Grade C. Attendance stands at 97.41 percent. Participates in Debate as an extracurricular activity.
Student S16975 named Nicole Williams, age 11, gender Male, is in Class 9. Scored 36 in Math, 98 in Science, 50 in English, 56 in History, and 88 in Computer, totaling 328 marks with Grade C. Attendance stands at 61.56 percent. Participates in Music as an extracurricular activity.
Student S16990 named Leslie Gutierrez, age 15, gender Male, is in Class 9. Scored 61 in Math, 67 in Science, 79 in English, 57 in History, and 59 in Computer, totaling 323 marks with Grade C. Attendance stands at 80.60 percent. Participates in Dance as an extracurricular activity.
Student S16993 named Linda Oliver, age 12, gender Female, is in Class 9. Scored 48 in Math, 94 in Science, 70 in English, 99 in History, and 89 in Computer, totaling 400 marks with Grade C. Attendance stands at 97.48 percent. Participates in Debate as an extracurricular activity.
Student S16996 named Carrie Smith, age 10, gender Female, is in Class 9. Scored 44 in Math, 81 in Science, 91 in English, 39 in History, and 87 in Computer, totaling 342 marks with Grade C. Attendance stands at 73.77 percent. Participates in Dance as an extracurricular activity.
Student S17008 named Diamond Armstrong, age 16, gender Male, is in Class 9. Scored 67 in Math, 30 in Science, 66 in English, 57 in History, and 49 in Computer, totaling 269 marks with Grade D. Attendance stands at 64.29 percent. Participates in Football as an extracurricular activity.
Student S17014 named Leon Bell, age 12, gender Female, is in Class 9. Scored 86 in Math, 87 in Science, 90 in English, 67 in History, and 79 in Computer, totaling 409 marks with Grade B. Attendance stands at 76.11 percent. Participates in Football as an extracurricular activity.
Student S17015 named Julia Webster, age 14, gender Female, is in Class 9. Scored 39 in Math, 94 in Science, 36 in English, 48 in History, and 38 in Computer, totaling 255 marks with Grade D. Attendance stands at 92.25 percent. Participates in Drama as an extracurricular activity.
Student S17020 named Bridget Duran, age 12, gender Female, is in Class 9. Scored 67 in Math, 43 in Science, 91 in English, 68 in History, and 85 in Computer, totaling 354 marks with Grade C. Attendance stands at 73.20 percent. Participates in None as an extracurricular activity.
Student S17023 named Melissa Madden, age 10, gender Female, is in Class 9. Scored 65 in Math, 47 in Science, 76 in English, 69 in History, and 81 in Computer, totaling 338 marks with Grade C. Attendance stands at 62.60 percent. Participates in Football as an extracurricular activity.
