Student S10002 named Christopher Taylor, age 17, gender Male, is in Class 7. Scored 71 in Math, 59 in Science, 30 in English, 88 in History, and 94 in Computer, totaling 342 marks with Grade C. Attendance stands at 71.95 percent. Participates in Music as an extracurricular activity.
Student S16033 named Michael Santiago, age 11, gender Male, is in Class 7. Scored 85 in Math, 97 in Science, 72 in English, 97 in History, and 77 in Computer, totaling 428 marks with Grade B. Attendance stands at 78.23 percent. Participates in Music as an extracurricular activity.
Student S16038 named Michael Martin, age 16, gender Female, is in Class 7. Scored 32 in Math, 33 in Science, 73 in English, 97 in History, and 74 in Computer, totaling 309 marks with Grade C. Attendance stands at 87.06 percent. Participates in Drama as an extracurricular activity.
Student S16040 named Mrs. Kathryn Holden, age 17, gender Female, is in Class 7. Scored 47 in Math, 58 in Science, 64 in English, 51 in History, and 72 in Computer, totaling 292 marks with Grade D. Attendance stands at 69.87 percent. Participates in Drama as an extracurricular activity.
Student S16041 named Rodney Key, age 12, gender Female, is in Class 7. Scored 44 in Math, 87 in Science, 85 in English, 71 in History, and 57 in Computer, totaling 344 marks with Grade C. Attendance stands at 98.42 percent. Participates in Debate as an extracurricular activity.
Student S16046 named Brandon Neal, age 15, gender Female, is in Class 7. Scored 93 in Math, 88 in Science, 97 in English, 38 in History, and 76 in Computer, totaling 392 marks with Grade C. Attendance stands at 92.24 percent. Participates in Drama as an extracurricular activity.
Student S16069 named James Oconnor, age 11, gender Female, is in Class 7. Scored 67 in Math, 89 in Science, 41 in English, 30 in History, and 73 in Computer, totaling 300 marks with Grade D. Attendance stands at 62.11 percent. Participates in Music as an extracurricular activity.
Student S16072 named Sarah Jones, age 12, gender Male, is in Class 7. Scored 36 in Math, 76 in Science, 80 in English, 69 in History, and 39 in Computer, totaling 300 marks with Grade D. Attendance stands at 63.88 percent. Participates in Football as an extracurricular activity.
Student S16075 named Lisa Evans, age 14, gender Male, is in Class 7. Scored 90 in Math, 34 in Science, 92 in English, 76 in History, and 48 in Computer, totaling 340 marks with Grade C. Attendance stands at 79.47 percent. Participates in Dance as an extracurricular activity.
Student S16078 named Scott Stone, age 12, gender Male, is in Class 7. Scored 72 in Math, 87 in Science, 80 in English, 59 in History, and 77 in Computer, totaling 375 marks with Grade C. Attendance stands at 80.21 percent. Participates in None as an extracurricular activity.
Student S16092 named Paul White, age 15, gender Female, is in Class 7. Scored 69 in Math, 30 in Science, 76 in English, 93 in History, and 76 in Computer, totaling 344 marks with Grade C. Attendance stands at 77.82 percent. Participates in Music as an extracurricular activity.
Student S16101 named Tracey Abbott, age 11, gender Female, is in Class 7. Scored 82 in Math, 63 in Science, 49 in English, 55 in History, and 62 in Computer, totaling 311 marks with Grade C. Attendance stands at 68.59 percent. Participates in Football as an extracurricular activity.
Student S16103 named Elizabeth Smith, age 15, gender Male, is in Class 7. Scored 48 in Math, 71 in Science, 60 in English, 65 in History, and 87 in Computer, totaling 331 marks with Grade C. Attendance stands at 92.75 percent. Participates in Debate as an extracurricular activity.
Student S16106 named Pamela Turner, age 13, gender Female, is in Class 7. Scored 86 in Math, 73 in Science, 59 in English, 31 in History, and 96 in Computer, totaling 345 marks with Grade C. Attendance stands at 86.49 percent. Participates in Football as an extracurricular activity.
Student S16108 named Vanessa Weber, age 10, gender Male, is in Class 7. Scored 66 in Math, 36 in Science, 35 in English, 69 in History, and 90 in Computer, totaling 296 marks with Grade D. Attendance stands at 78.48 percent. Participates in Football as an extracurricular activity.
Student S16127 named Michele Weiss, age 11, gender Male, is in Class 7. Scored 75 in Math, 62 in Science, 77 in English, 67 in History, and 73 in Computer, totaling 354 marks with Grade C. Attendance stands at 65.62 percent. Participates in Football as an extracurricular activity.
Student S16138 named Kelli Taylor, age 14, gender Male, is in Class 7. Scored 66 in Math, 54 in Science, 74 in English, 78 in History, and 60 in Computer, totaling 332 marks with Grade C. Attendance stands at 77.84 percent. Participates in Dance as an extracurricular activity.
Student S16140 named Mark Patterson, age 10, gender Female, is in Class 7. Scored 54 in Math, 59 in Science, 97 in English, 71 in History, and 87 in Computer, totaling 368 marks with Grade C. Attendance stands at 60.95 percent. Participates in Dance as an extracurricular activity.
Student S16142 named Thomas Petty, age 13, gender Male, is in Class 7. Scored 38 in Math, 44 in Science, 68 in English, 33 in History, and 47 in Computer, totaling 230 marks with Grade D. Attendance stands at 92.80 percent. Participates in Debate as an extracurricular activity.
Student S16143 named Emily Suarez, age 15, gender Male, is in Class 7. Scored 78 in Math, 36 in Science, 90 in English, 44 in History, and 58 in Computer, totaling 306 marks with Grade C. Attendance stands at 75.41 percent. Participates in None as an extracurricular activity.
Student S16144 named Kaylee Strickland, age 10, gender Male, is in Class 7. Scored 79 in Math, 99 in Science, 99 in English, 92 in History, and 74 in Computer, totaling 443 marks with Grade B. Attendance stands at 82.14 percent. Participates in Debate as an extracurricular activity.
Student S16149 named Michael Roberson, age 12, gender Male, is in Class 7. Scored 34 in Math, 87 in Science, 43 in English, 76 in History, and 43 in Computer, totaling 283 marks with Grade D. Attendance stands at 62.04 percent. Participates in None as an extracurricular activity.
Student S16173 named Matthew Morales, age 10, gender Male, is in Class 7. Scored 88 in Math, 86 in Science, 73 in English, 47 in History, and 68 in Computer, totaling 362 marks with Grade C. Attendance stands at 62.54 percent. Participates in Debate as an extracurricular activity.
Student S16176 named Victoria Hall, age 11, gender Male, is in Class 7. Scored 80 in Math, 35 in Science, 59 in English, 58 in History, and 56 in Computer, totaling 288 marks with Grade D. Attendance stands at 72.64 percent. Participates in Drama as an extracurricular activity.
Student S16177 named Brooke Sanchez, age 11, gender Male, is in Class 7. Scored 75 in Math, 81 in Science, 93 in English, 68 in History, and 77 in Computer, totaling 394 marks with Grade C. Attendance stands at 62.07 percent. Participates in Debate as an extracurricular activity.
Student S16199 named David Barrett, age 11, gender Female, is in Class 7. Scored 79 in Math, 68 in Science, 84 in English, 76 in History, and 72 in Computer, totaling 379 marks with Grade C. Attendance stands at 77.02 percent. Participates in Football as an extracurricular activity.
Student S16207 named Susan Price, age 13, gender Male, is in Class 7. Scored 60 in Math, 74 in Science, 51 in English, 64 in History, and 56 in Computer, totaling 305 marks with Grade C. Attendance stands at 88.16 percent. Participates in Football as an extracurricular activity.
Student S16211 named Matthew Alexander, age 16, gender Female, is in Class 7. Scored 53 in Math, 42 in Science, 44 in English, 73 in History, and 39 in Computer, totaling 251 marks with Grade D. Attendance stands at 90.08 percent. Participates in None as an extracurricular activity.
Student S16218 named Jessica Evans, age 13, gender Female, is in Class 7. Scored 97 in Math, 61 in Science, 74 in English, 39 in History, and 95 in Computer, totaling 366 marks with Grade C. Attendance stands at 76.64 percent. Participates in Dance as an extracurricular activity.
Student S16222 named Katie Brooks, age 16, gender Female, is in Class 7. Scored 37 in Math, 73 in Science, 46 in English, 40 in History, and 94 in Computer, totaling 290 marks with Grade D. Attendance stands at 91.49 percent. Participates in Music as an extracurricular activity.
Student S16227 named Jasmine Colon, age 16, gender Male, is in Class 7. Scored 62 in Math, 69 in Science, 51 in English, 36 in History, and 49 in Computer, totaling 267 marks with Grade D. Attendance stands at 72.68 percent. Participates in Debate as an extracurricular activity.
Student S16237 named Adam Lee, age 12, gender Female, is in Class 7. Scored 78 in Math, 44 in Science, 78 in English, 93 in History, and 97 in Computer, totaling 390 marks with Grade C. Attendance stands at 89.14 percent. Participates in None as an extracurricular activity.
Student S16238 named Crystal Webb, age 10, gender Female, is in Class 7. Scored 41 in Math, 42 in Science, 45 in English, 80 in History, and 77 in Computer, totaling 285 marks with Grade D. Attendance stands at 62.70 percent. Participates in None as an extracurricular activity.
Student S16242 named Kenneth Lee, age 17, gender Female, is in Class 7. Scored 32 in Math, 42 in Science, 83 in English, 47 in History, and 63 in Computer, totaling 267 marks with Grade D. Attendance stands at 91.54 percent. Participates in Dance as an extracurricular activity.
Student S16243 named Amanda Shannon, age 16, gender Female, is in Class 7. Scored 75 in Math, 86 in Science, 31 in English, 67 in History, and 90 in Computer, totaling 349 marks with Grade C. Attendance stands at 98.52 percent. Participates in Debate as an extracurricular activity.
Student S16259 named Tanya Moon, age 10, gender Female, is in Class 7. Scored 72 in Math, 84 in Science, 44 in English, 43 in History, and 68 in Computer, totaling 311 marks with Grade C. Attendance stands at 88.49 percent. Participates in Drama as an extracurricular activity.
Student S16279 named Lauren Martin, age 11, gender Female, is in Class 7. Scored 50 in Math, 98 in Science, 77 in English, 67 in History, and 42 in Computer, totaling 334 marks with Grade C. Attendance stands at 82.95 percent. Participates in Debate as an extracurricular activity.
Student S16283 named Mr. Daniel Smith, age 10, gender Male, is in Class 7. Scored 40 in Math, 35 in Science, 80 in English, 76 in History, and 58 in Computer, totaling 289 marks with Grade D. Attendance stands at 66.90 percent. Participates in Football as an extracurricular activity.
Student S16292 named Rachael Ramos, age 13, gender Female, is in Class 7. Scored 46 in Math, 34 in Science, 87 in English, 77 in History, and 65 in Computer, totaling 309 marks with Grade C. Attendance stands at 68.85 percent. Participates in Debate as an extracurricular activity.
Student S16295 named Rickey Mclaughlin, age 14, gender Male, is in Class 7. Scored 58 in Math, 51 in Science, 90 in English, 89 in History, and 37 in Computer, totaling 325 marks with Grade C. Attendance stands at 71.37 percent. Participates in Football as an extracurricular activity.
Student S16296 named Steven Friedman, age 12, gender Male, is in Class 7. Scored 39 in Math, 47 in Science, 94 in English, 88 in History, and 38 in Computer, totaling 306 marks with Grade C. Attendance stands at 74.81 percent. Participates in Music as an extracurricular activity.
