Student S10012 named Joseph Smith, age 12, gender Female, is in Class 10. Scored 83 in Math, 84 in Science, 37 in English, 75 in History, and 87 in Computer, totaling 366 marks with Grade C. Attendance stands at 83.67 percent. Participates in Drama as an extracurricular activity.
Student S16554 named Andrew Schultz, age 15, gender Male, is in Class 10. Scored 35 in Math, 78 in Science, 36 in English, 50 in History, and 69 in Computer, totaling 268 marks with Grade D. Attendance stands at 62.20 percent. Participates in Drama as an extracurricular activity.
Student S16556 named Loretta Barry, age 11, gender Female, is in Class 10. Scored 79 in Math, 56 in Science, 49 in English, 80 in History, and 39 in Computer, totaling 303 marks with Grade C. Attendance stands at 78.75 percent. Participates in Drama as an extracurricular activity.
Student S16557 named Jonathan Carlson, age 14, gender Female, is in Class 10. Scored 70 in Math, 36 in Science, 61 in English, 87 in History, and 40 in Computer, totaling 294 marks with Grade D. Attendance stands at 93.42 percent. Participates in None as an extracurricular activity.
Student S16564 named Susan Shannon, age 17, gender Male, is in Class 10. Scored 61 in Math, 51 in Science, 94 in English, 38 in History, and 97 in Computer, totaling 341 marks with Grade C. Attendance stands at 96.34 percent. Participates in Drama as an extracurricular activity.
Student S16574 named Joshua Skinner, age 13, gender Female, is in Class 10. Scored 35 in Math, 78 in Science, 46 in English, 37 in History, and 90 in Computer, totaling 286 marks with Grade D. Attendance stands at 74.86 percent. Participates in Dance as an extracurricular activity.
Student S16588 named Steven Sanchez, age 13, gender Female, is in Class 10. Scored 85 in Math, 47 in Science, 68 in English, 87 in History, and 53 in Computer, totaling 340 marks with Grade C. Attendance stands at 95.34 percent. Participates in Drama as an extracurricular activity.
Student S16598 named Mrs. Dana Young, age 11, gender Male, is in Class 10. Scored 77 in Math, 67 in Science, 51 in English, 56 in History, and 43 in Computer, totaling 294 marks with Grade D. Attendance stands at 63.09 percent. Participates in None as an extracurricular activity.
Student S16601 named Anthony Clark, age 15, gender Male, is in Class 10. Scored 39 in Math, 80 in Science, 46 in English, 45 in History, and 95 in Computer, totaling 305 marks with Grade C. Attendance stands at 77.72 percent. Participates in Football as an extracurricular activity.
Student S16614 named Breanna Smith, age 17, gender Male, is in Class 10. Scored 92 in Math, 98 in Science, 50 in English, 63 in History, and 53 in Computer, totaling 356 marks with Grade C. Attendance stands at 85.38 percent. Participates in Debate as an extracurricular activity.
Student S16655 named Cameron Mason, age 14, gender Male, is in Class 10. Scored 45 in Math, 79 in Science, 82 in English, 80 in History, and 38 in Computer, totaling 324 marks with Grade C. Attendance stands at 82.05 percent. Participates in Music as an extracurricular activity.
Student S16658 named William Owens, age 13, gender Female, is in Class 10. Scored 49 in Math, 97 in Science, 54 in English, 95 in History, and 50 in Computer, totaling 345 marks with Grade C. Attendance stands at 96.90 percent. Participates in Drama as an extracurricular activity.
Student S16676 named Todd Vargas, age 11, gender Female, is in Class 10. Scored 91 in Math, 72 in Science, 83 in English, 40 in History, and 69 in Computer, totaling 355 marks with Grade C. Attendance stands at 68.05 percent. Participates in None as an extracurricular activity.
Student S16701 named Ryan Moore, age 10, gender Male, is in Class 10. Scored 90 in Math, 56 in Science, 69 in English, 39 in History, and 68 in Computer, totaling 322 marks with Grade C. Attendance stands at 69.59 percent. Participates in Football as an extracurricular activity.
Student S16704 named Eric Miller, age 11, gender Female, is in Class 10. Scored 84 in Math, 54 in Science, 43 in English, 98 in History, and 62 in Computer, totaling 341 marks with Grade C. Attendance stands at 86.49 percent. Participates in Music as an extracurricular activity.
Student S16706 named Nicholas Simmons, age 12, gender Female, is in Class 10. Scored 44 in Math, 76 in Science, 74 in English, 32 in History, and 70 in Computer, totaling 296 marks with Grade D. Attendance stands at 86.09 percent. Participates in Music as an extracurricular activity.
Student S16711 named Jennifer Clarke, age 12, gender Male, is in Class 10. Scored 91 in Math, 93 in Science, 39 in English, 87 in History, and 57 in Computer, totaling 367 marks with Grade C. Attendance stands at 64.64 percent. Participates in Music as an extracurricular activity.
Student S16715 named David Pena, age 11, gender Male, is in Class 10. Scored 75 in Math, 49 in Science, 77 in English, 67 in History, and 93 in Computer, totaling 361 marks with Grade C. Attendance stands at 87.69 percent. Participates in None as an extracurricular activity.
Student S16716 named Jordan Burns, age 10, gender Female, is in Class 10. Scored 62 in Math, 65 in Science, 59 in English, 89 in History, and 38 in Computer, totaling 313 marks with Grade C. Attendance stands at 88.48 percent. Participates in Dance as an extracurricular activity.
Student S16730 named Sara Noble, age 14, gender Female, is in Class 10. Scored 49 in Math, 36 in Science, 76 in English, 95 in History, and 57 in Computer, totaling 313 marks with Grade C. Attendance stands at 98.82 percent. Participates in Music as an extracurricular activity.
Student S16748 named Laurie Lee, age 15, gender Female, is in Class 10. Scored 44 in Math, 83 in Science, 37 in English, 99 in History, and 66 in Computer, totaling 329 marks with Grade C. Attendance stands at 64.74 percent. Participates in Drama as an extracurricular activity.
Student S16749 named Cathy Wong, age 15, gender Female, is in Class 10. Scored 38 in Math, 76 in Science, 89 in English, 54 in History, and 50 in Computer, totaling 307 marks with Grade C. Attendance stands at 94.40 percent. Participates in None as an extracurricular activity.
Student S16753 named Angela Moran, age 12, gender Female, is in Class 10. Scored 56 in Math, 56 in Science, 53 in English, 91 in History, and 35 in Computer, totaling 291 marks with Grade D. Attendance stands at 88.79 percent. Participates in None as an extracurricular activity.
Student S16757 named Brenda Carroll, age 11, gender Male, is in Class 10. Scored 92 in Math, 88 in Science, 98 in English, 60 in History, and 50 in Computer, totaling 388 marks with Grade C. Attendance stands at 60.37 percent. Participates in Debate as an extracurricular activity.
Student S16768 named Jennifer Walker, age 17, gender Male, is in Class 10. Scored 96 in Math, 77 in Science, 76 in English, 74 in History, and 90 in Computer, totaling 413 marks with Grade B. Attendance stands at 74.83 percent. Participates in Dance as an extracurricular activity.
Student S16775 named Terry Roth, age 10, gender Male, is in Class 10. Scored 59 in Math, 59 in Science, 61 in English, 59 in History, and 74 in Computer, totaling 312 marks with Grade C. Attendance stands at 64.88 percent. Participates in Dance as an extracurricular activity.
Student S16787 named John Miles, age 17, gender Female, is in Class 10. Scored 63 in Math, 51 in Science, 83 in English, 96 in History, and 57 in Computer, totaling 350 marks with Grade C. Attendance stands at 63.43 percent. Participates in Dance as an extracurricular activity.
Student S16826 named Brandy Montgomery, age 12, gender Male, is in Class 10. Scored 61 in Math, 69 in Science, 62 in English, 49 in History, and 40 in Computer, totaling 281 marks with Grade D. Attendance stands at 71.50 percent. Participates in Debate as an extracurricular activity.
Student S16827 named Daniel Maldonado, age 11, gender Male, is in Class 10. Scored 38 in Math, 48 in Science, 38 in English, 41 in History, and 93 in Computer, totaling 258 marks with Grade D. Attendance stands at 88.24 percent. Participates in None as an extracurricular activity.
Student S16836 named Joel Clark, age 14, gender Male, is in Class 10. Scored 57 in Math, 86 in Science, 42 in English, 83 in History, and 39 in Computer, totaling 307 marks with Grade C. Attendance stands at 80.00 percent. Participates in Football as an extracurricular activity.
Student S16845 named Melissa Harris, age 11, gender Female, is in Class 10. Scored 62 in Math, 75 in Science, 39 in English, 90 in History, and 68 in Computer, totaling 334 marks with Grade C. Attendance stands at 77.24 percent. Participates in Debate as an extracurricular activity.
Student S16855 named Justin Norman, age 16, gender Male, is in Class 10. Scored 45 in Math, 55 in Science, 98 in English, 48 in History, and 54 in Computer, totaling 300 marks with Grade D. Attendance stands at 92.04 percent. Participates in Dance as an extracurricular activity.
Student S16861 named Ashley Maldonado, age 10, gender Female, is in Class 10. Scored 38 in Math, 71 in Science, 43 in English, 91 in History, and 84 in Computer, totaling 327 marks with Grade C. Attendance stands at 95.22 percent. Participates in None as an extracurricular activity.
Student S16870 named Sandra Fowler, age 14, gender Male, is in Class 10. Scored 92 in Math, 34 in Science, 50 in English, 40 in History, and 98 in Computer, totaling 314 marks with Grade C. Attendance stands at 67.14 percent. Participates in Football as an extracurricular activity.
Student S16883 named Tiffany Rodriguez, age 12, gender Female, is in Class 10. Scored 40 in Math, 95 in Science, 67 in English, 94 in History, and 40 in Computer, totaling 336 marks with Grade C. Attendance stands at 72.80 percent. Participates in Dance as an extracurricular activity.
Student S16884 named Jeffrey Gonzalez, age 12, gender Female, is in Class 10. Scored 41 in Math, 75 in Science, 61 in English, 85 in History, and 90 in Computer, totaling 352 marks with Grade C. Attendance stands at 96.43 percent. Participates in None as an extracurricular activity.
Student S16903 named Heather Green, age 16, gender Male, is in Class 10. Scored 94 in Math, 97 in Science, 92 in English, 67 in History, and 54 in Computer, totaling 404 marks with Grade B. Attendance stands at 92.10 percent. Participates in Music as an extracurricular activity.
Student S16909 named Bryce Parker, age 13, gender Male, is in Class 10. Scored 44 in Math, 37 in Science, 53 in English, 80 in History, and 97 in Computer, totaling 311 marks with Grade C. Attendance stands at 81.88 percent. Participates in Dance as an extracurricular activity.
Student S16936 named Alison Tran, age 14, gender Female, is in Class 10. Scored 65 in Math, 88 in Science, 48 in English, 99 in History, and 42 in Computer, totaling 342 marks with Grade C. Attendance stands at 98.14 percent. Participates in Debate as an extracurricular activity.
Student S16950 named Stephen Gardner, age 16, gender Female, is in Class 10. Scored 51 in Math, 31 in Science, 52 in English, 68 in History, and 99 in Computer, totaling 301 marks with Grade C. Attendance stands at 86.66 percent. Participates in None as an extracurricular activity.
Student S16954 named Ms. Stephanie Rose, age 15, gender Female, is in Class 10. Scored 58 in Math, 66 in Science, 77 in English, 51 in History, and 74 in Computer, totaling 326 marks with Grade C. Attendance stands at 70.31 percent. Participates in Dance as an extracurricular activity.
Student S16985 named Mark Garza, age 12, gender Female, is in Class 10. Scored 33 in Math, 87 in Science, 91 in English, 57 in History, and 65 in Computer, totaling 333 marks with Grade C. Attendance stands at 76.88 percent. Participates in Drama as an extracurricular activity.
