Student S10008 named Valerie Smith, age 16, gender Female, is in Class 5. Scored 31 in Math, 85 in Science, 42 in English, 73 in History, and 43 in Computer, totaling 274 marks with Grade D. Attendance stands at 81.02 percent. Participates in Debate as an extracurricular activity.
Student S16577 named Brittney Reid, age 15, gender Female, is in Class 5. Scored 81 in Math, 84 in Science, 64 in English, 72 in History, and 67 in Computer, totaling 368 marks with Grade C. Attendance stands at 70.71 percent. Participates in Music as an extracurricular activity.
Student S16583 named Danny Alexander, age 17, gender Male, is in Class 5. Scored 61 in Math, 67 in Science, 80 in English, 57 in History, and 47 in Computer, totaling 312 marks with Grade C. Attendance stands at 90.10 percent. Participates in Debate as an extracurricular activity.
Student S16590 named Andrew Cobb, age 13, gender Male, is in Class 5. Scored 42 in Math, 41 in Science, 70 in English, 50 in History, and 82 in Computer, totaling 285 marks with Grade D. Attendance stands at 69.28 percent. Participates in Dance as an extracurricular activity.
Student S16600 named Tara Chung, age 10, gender Male, is in Class 5. Scored 34 in Math, 56 in Science, 72 in English, 54 in History, and 84 in Computer, totaling 300 marks with Grade D. Attendance stands at 89.40 percent. Participates in Dance as an extracurricular activity.
Student S16602 named Gary Johnson, age 17, gender Female, is in Class 5. Scored 56 in Math, 38 in Science, 93 in English, 82 in History, and 97 in Computer, totaling 366 marks with Grade C. Attendance stands at 89.38 percent. Participates in Music as an extracurricular activity.
Student S16606 named Heather Anderson, age 13, gender Female, is in Class 5. Scored 30 in Math, 81 in Science, 49 in English, 73 in History, and 91 in Computer, totaling 324 marks with Grade C. Attendance stands at 71.26 percent. Participates in Dance as an extracurricular activity.
Student S16615 named Jamie Gutierrez, age 14, gender Male, is in Class 5. Scored 77 in Math, 54 in Science, 79 in English, 41 in History, and 40 in Computer, totaling 291 marks with Grade D. Attendance stands at 67.38 percent. Participates in Debate as an extracurricular activity.
Student S16616 named Stacey Trevino, age 13, gender Male, is in Class 5. Scored 85 in Math, 69 in Science, 44 in English, 53 in History, and 88 in Computer, totaling 339 marks with Grade C. Attendance stands at 63.40 percent. Participates in Drama as an extracurricular activity.
Student S16624 named Taylor Smith, age 12, gender Male, is in Class 5. Scored 56 in Math, 92 in Science, 86 in English, 48 in History, and 40 in Computer, totaling 322 marks with Grade C. Attendance stands at 70.79 percent. Participates in Debate as an extracurricular activity.
Student S16625 named Kristin Edwards, age 12, gender Male, is in Class 5. Scored 98 in Math, 50 in Science, 44 in English, 30 in History, and 73 in Computer, totaling 295 marks with Grade D. Attendance stands at 70.56 percent. Participates in Drama as an extracurricular activity.
Student S16632 named David Cummings, age 15, gender Female, is in Class 5. Scored 80 in Math, 46 in Science, 56 in English, 78 in History, and 92 in Computer, totaling 352 marks with Grade C. Attendance stands at 75.00 percent. Participates in Dance as an extracurricular activity.
Student S16634 named Nancy Bridges, age 15, gender Male, is in Class 5. Scored 38 in Math, 71 in Science, 81 in English, 83 in History, and 54 in Computer, totaling 327 marks with Grade C. Attendance stands at 89.58 percent. Participates in Debate as an extracurricular activity.
Student S16644 named Denise Johnson, age 11, gender Female, is in Class 5. Scored 57 in Math, 55 in Science, 46 in English, 57 in History, and 46 in Computer, totaling 261 marks with Grade D. Attendance stands at 63.86 percent. Participates in Drama as an extracurricular activity.
Student S16652 named Stephanie Tucker, age 15, gender Male, is in Class 5. Scored 36 in Math, 65 in Science, 55 in English, 93 in History, and 47 in Computer, totaling 296 marks with Grade D. Attendance stands at 65.38 percent. Participates in Drama as an extracurricular activity.
Student S16659 named Sara Rios, age 14, gender Female, is in Class 5. Scored 35 in Math, 58 in Science, 39 in English, 50 in History, and 77 in Computer, totaling 259 marks with Grade D. Attendance stands at 64.62 percent. Participates in Drama as an extracurricular activity.
Student S16665 named Lauren Beard, age 10, gender Female, is in Class 5. Scored 32 in Math, 92 in Science, 66 in English, 51 in History, and 36 in Computer, totaling 277 marks with Grade D. Attendance stands at 68.70 percent. Participates in Dance as an extracurricular activity.
Student S16677 named Peter Schneider, age 16, gender Female, is in Class 5. Scored 60 in Math, 41 in Science, 90 in English, 84 in History, and 73 in Computer, totaling 348 marks with Grade C. Attendance stands at 60.62 percent. Participates in Dance as an extracurricular activity.
Student S16709 named Amy Elliott, age 14, gender Male, is in Class 5. Scored 40 in Math, 46 in Science, 33 in English, 77 in History, and 50 in Computer, totaling 246 marks with Grade D. Attendance stands at 63.75 percent. Participates in Football as an extracurricular activity.
Student S16710 named John Kim, age 13, gender Male, is in Class 5. Scored 73 in Math, 66 in Science, 78 in English, 44 in History, and 99 in Computer, totaling 360 marks with Grade C. Attendance stands at 96.07 percent. Participates in Music as an extracurricular activity.
Student S16722 named John Murray, age 17, gender Male, is in Class 5. Scored 63 in Math, 70 in Science, 58 in English, 99 in History, and 84 in Computer, totaling 374 marks with Grade C. Attendance stands at 78.85 percent. Participates in Drama as an extracurricular activity.
Student S16729 named Roberta Hogan, age 11, gender Male, is in Class 5. Scored 55 in Math, 57 in Science, 60 in English, 34 in History, and 62 in Computer, totaling 268 marks with Grade D. Attendance stands at 89.70 percent. Participates in Music as an extracurricular activity.
Student S16733 named Robin Robertson, age 15, gender Female, is in Class 5. Scored 41 in Math, 41 in Science, 49 in English, 58 in History, and 41 in Computer, totaling 230 marks with Grade D. Attendance stands at 73.10 percent. Participates in None as an extracurricular activity.
Student S16738 named Nathan Callahan, age 16, gender Male, is in Class 5. Scored 97 in Math, 30 in Science, 48 in English, 72 in History, and 44 in Computer, totaling 291 marks with Grade D. Attendance stands at 83.37 percent. Participates in Debate as an extracurricular activity.
Student S16740 named Jennifer Davis, age 17, gender Female, is in Class 5. Scored 31 in Math, 46 in Science, 58 in English, 72 in History, and 92 in Computer, totaling 299 marks with Grade D. Attendance stands at 60.45 percent. Participates in Debate as an extracurricular activity.
Student S16747 named Jenna Henderson, age 12, gender Female, is in Class 5. Scored 68 in Math, 88 in Science, 66 in English, 72 in History, and 73 in Computer, totaling 367 marks with Grade C. Attendance stands at 89.95 percent. Participates in Football as an extracurricular activity.
Student S16765 named Carl Alvarez, age 13, gender Female, is in Class 5. Scored 79 in Math, 90 in Science, 69 in English, 96 in History, and 58 in Computer, totaling 392 marks with Grade C. Attendance stands at 64.15 percent. Participates in Drama as an extracurricular activity.
Student S16769 named William Dunn, age 14, gender Male, is in Class 5. Scored 78 in Math, 77 in Science, 49 in English, 49 in History, and 47 in Computer, totaling 300 marks with Grade D. Attendance stands at 99.74 percent. Participates in Music as an extracurricular activity.
Student S16774 named Shane Brown, age 11, gender Female, is in Class 5. Scored 30 in Math, 87 in Science, 89 in English, 54 in History, and 96 in Computer, totaling 356 marks with Grade C. Attendance stands at 87.56 percent. Participates in Music as an extracurricular activity.
Student S16791 named Michael Parsons, age 17, gender Female, is in Class 5. Scored 61 in Math, 84 in Science, 61 in English, 78 in History, and 57 in Computer, totaling 341 marks with Grade C. Attendance stands at 97.20 percent. Participates in None as an extracurricular activity.
Student S16822 named Logan Brown, age 12, gender Male, is in Class 5. Scored 68 in Math, 62 in Science, 52 in English, 81 in History, and 96 in Computer, totaling 359 marks with Grade C. Attendance stands at 81.83 percent. Participates in Music as an extracurricular activity.
Student S16824 named Crystal Bird, age 16, gender Male, is in Class 5. Scored 84 in Math, 58 in Science, 87 in English, 70 in History, and 31 in Computer, totaling 330 marks with Grade C. Attendance stands at 60.78 percent. Participates in None as an extracurricular activity.
Student S16834 named Kevin Simpson, age 17, gender Female, is in Class 5. Scored 31 in Math, 69 in Science, 45 in English, 89 in History, and 71 in Computer, totaling 305 marks with Grade C. Attendance stands at 98.22 percent. Participates in Dance as an extracurricular activity.
Student S16841 named Johnathan Warren, age 12, gender Male, is in Class 5. Scored 36 in Math, 38 in Science, 87 in English, 49 in History, and 73 in Computer, totaling 283 marks with Grade D. Attendance stands at 95.56 percent. Participates in Debate as an extracurricular activity.
Student S16859 named Amber Baker, age 16, gender Male, is in Class 5. Scored 39 in Math, 37 in Science, 90 in English, 58 in History, and 46 in Computer, totaling 270 marks with Grade D. Attendance stands at 64.85 percent. Participates in Music as an extracurricular activity.
Student S16862 named Stephanie Myers, age 13, gender Male, is in Class 5. Scored 61 in Math, 40 in Science, 56 in English, 58 in History, and 88 in Computer, totaling 303 marks with Grade C. Attendance stands at 93.06 percent. Participates in Music as an extracurricular activity.
Student S16866 named Mitchell James, age 11, gender Male, is in Class 5. Scored 90 in Math, 65 in Science, 43 in English, 47 in History, and 82 in Computer, totaling 327 marks with Grade C. Attendance stands at 94.88 percent. Participates in Football as an extracurricular activity.
Student S16872 named Heather Mccoy, age 15, gender Male, is in Class 5. Scored 76 in Math, 65 in Science, 71 in English, 87 in History, and 60 in Computer, totaling 359 marks with Grade C. Attendance stands at 82.63 percent. Participates in Drama as an extracurricular activity.
Student S16890 named Angela Wilkerson DVM, age 13, gender Female, is in Class 5. Scored 72 in Math, 31 in Science, 84 in English, 87 in History, and 99 in Computer, totaling 373 marks with Grade C. Attendance stands at 61.81 percent. Participates in Drama as an extracurricular activity.
Student S16913 named Michelle Morales, age 16, gender Male, is in Class 5. Scored 80 in Math, 35 in Science, 41 in English, 47 in History, and 53 in Computer, totaling 256 marks with Grade D. Attendance stands at 74.80 percent. Participates in None as an extracurricular activity.
Student S16916 named Matthew Small, age 10, gender Male, is in Class 5. Scored 34 in Math, 78 in Science, 49 in English, 95 in History, and 56 in Computer, totaling 312 marks with Grade C. Attendance stands at 74.99 percent. Participates in Debate as an extracurricular activity.
Student S16923 named James Dawson, age 15, gender Female, is in Class 5. Scored 91 in Math, 49 in Science, 42 in English, 88 in History, and 41 in Computer, totaling 311 marks with Grade C. Attendance stands at 93.68 percent. Participates in Music as an extracurricular activity.
