Student S10001 named Rebecca Vargas, age 15, gender Male, is in Class 8. Scored 40 in Math, 94 in Science, 42 in English, 66 in History, and 70 in Computer, totaling 312 marks with Grade C. Attendance stands at 69.78 percent. Participates in Drama as an extracurricular activity.
Student S15479 named Alan Parker, age 17, gender Female, is in Class 8. Scored 57 in Math, 51 in Science, 91 in English, 63 in History, and 34 in Computer, totaling 296 marks with Grade D. Attendance stands at 85.98 percent. Participates in Dance as an extracurricular activity.
Student S15482 named Travis Rivers, age 14, gender Male, is in Class 8. Scored 76 in Math, 38 in Science, 81 in English, 62 in History, and 78 in Computer, totaling 335 marks with Grade C. Attendance stands at 87.41 percent. Participates in Drama as an extracurricular activity.
Student S15491 named Alicia Barker, age 12, gender Male, is in Class 8. Scored 40 in Math, 36 in Science, 34 in English, 82 in History, and 65 in Computer, totaling 257 marks with Grade D. Attendance stands at 97.72 percent. Participates in Dance as an extracurricular activity.
Student S15492 named Amber Cole, age 14, gender Female, is in Class 8. Scored 71 in Math, 43 in Science, 36 in English, 91 in History, and 46 in Computer, totaling 287 marks with Grade D. Attendance stands at 79.59 percent. Participates in Music as an extracurricular activity.
Student S15495 named Natasha Rodriguez, age 12, gender Female, is in Class 8. Scored 85 in Math, 40 in Science, 59 in English, 49 in History, and 38 in Computer, totaling 271 marks with Grade D. Attendance stands at 68.27 percent. Participates in Debate as an extracurricular activity.
Student S15523 named Megan Farmer, age 15, gender Male, is in Class 8. Scored 40 in Math, 30 in Science, 72 in English, 67 in History, and 42 in Computer, totaling 251 marks with Grade D. Attendance stands at 71.25 percent. Participates in Football as an extracurricular activity.
Student S15531 named Peter Underwood, age 12, gender Female, is in Class 8. Scored 60 in Math, 36 in Science, 51 in English, 80 in History, and 93 in Computer, totaling 320 marks with Grade C. Attendance stands at 62.42 percent. Participates in Dance as an extracurricular activity.
Student S15558 named Austin Mendoza, age 12, gender Female, is in Class 8. Scored 93 in Math, 94 in Science, 96 in English, 48 in History, and 50 in Computer, totaling 381 marks with Grade C. Attendance stands at 74.54 percent. Participates in Drama as an extracurricular activity.
Student S15571 named Christina Nguyen, age 12, gender Female, is in Class 8. Scored 83 in Math, 72 in Science, 38 in English, 85 in History, and 60 in Computer, totaling 338 marks with Grade C. Attendance stands at 98.16 percent. Participates in Music as an extracurricular activity.
Student S15573 named Warren Bell, age 10, gender Female, is in Class 8. Scored 72 in Math, 89 in Science, 99 in English, 82 in History, and 82 in Computer, totaling 424 marks with Grade B. Attendance stands at 72.61 percent. Participates in Debate as an extracurricular activity.
Student S15598 named Brian Fry, age 17, gender Male, is in Class 8. Scored 69 in Math, 90 in Science, 55 in English, 32 in History, and 43 in Computer, totaling 289 marks with Grade D. Attendance stands at 80.52 percent. Participates in None as an extracurricular activity.
Student S15606 named Jennifer Garner, age 11, gender Male, is in Class 8. Scored 95 in Math, 42 in Science, 63 in English, 78 in History, and 44 in Computer, totaling 322 marks with Grade C. Attendance stands at 74.53 percent. Participates in Debate as an extracurricular activity.
Student S15608 named Richard Kennedy, age 12, gender Male, is in Class 8. Scored 73 in Math, 47 in Science, 97 in English, 64 in History, and 30 in Computer, totaling 311 marks with Grade C. Attendance stands at 60.21 percent. Participates in Football as an extracurricular activity.
Student S15615 named Jackie Castaneda, age 17, gender Female, is in Class 8. Scored 90 in Math, 79 in Science, 86 in English, 69 in History, and 32 in Computer, totaling 356 marks with Grade C. Attendance stands at 95.56 percent. Participates in None as an extracurricular activity.
Student S15616 named Ann Bowen, age 13, gender Female, is in Class 8. Scored 91 in Math, 53 in Science, 64 in English, 76 in History, and 82 in Computer, totaling 366 marks with Grade C. Attendance stands at 85.51 percent. Participates in Music as an extracurricular activity.
Student S15618 named Robert Williams, age 11, gender Female, is in Class 8. Scored 35 in Math, 40 in Science, 91 in English, 30 in History, and 79 in Computer, totaling 275 marks with Grade D. Attendance stands at 64.15 percent. Participates in Debate as an extracurricular activity.
Student S15631 named Penny Barnes, age 12, gender Female, is in Class 8. Scored 32 in Math, 34 in Science, 98 in English, 46 in History, and 88 in Computer, totaling 298 marks with Grade D. Attendance stands at 73.57 percent. Participates in None as an extracurricular activity.
Student S15632 named Cathy Williams, age 17, gender Male, is in Class 8. Scored 99 in Math, 72 in Science, 35 in English, 49 in History, and 57 in Computer, totaling 312 marks with Grade C. Attendance stands at 78.38 percent. Participates in Drama as an extracurricular activity.
Student S15634 named Lisa Miller, age 14, gender Male, is in Class 8. Scored 65 in Math, 89 in Science, 76 in English, 72 in History, and 38 in Computer, totaling 340 marks with Grade C. Attendance stands at 96.67 percent. Participates in None as an extracurricular activity.
Student S15639 named Nicole Snyder DVM, age 14, gender Female, is in Class 8. Scored 41 in Math, 90 in Science, 36 in English, 75 in History, and 63 in Computer, totaling 305 marks with Grade C. Attendance stands at 75.58 percent. Participates in Drama as an extracurricular activity.
Student S15644 named Jared Gomez, age 16, gender Male, is in Class 8. Scored 62 in Math, 57 in Science, 51 in English, 46 in History, and 91 in Computer, totaling 307 marks with Grade C. Attendance stands at 82.14 percent. Participates in None as an extracurricular activity.
Student S15647 named Amy Coleman, age 14, gender Female, is in Class 8. Scored 92 in Math, 43 in Science, 92 in English, 30 in History, and 87 in Computer, totaling 344 marks with Grade C. Attendance stands at 89.37 percent. Participates in Dance as an extracurricular activity.
Student S15649 named William Torres, age 16, gender Female, is in Class 8. Scored 32 in Math, 53 in Science, 74 in English, 87 in History, and 36 in Computer, totaling 282 marks with Grade D. Attendance stands at 86.27 percent. Participates in Drama as an extracurricular activity.
Student S15650 named Laura Williams, age 17, gender Female, is in Class 8. Scored 65 in Math, 43 in Science, 32 in English, 81 in History, and 79 in Computer, totaling 300 marks with Grade D. Attendance stands at 68.12 percent. Participates in Football as an extracurricular activity.
Student S15654 named Christopher Walsh, age 12, gender Male, is in Class 8. Scored 79 in Math, 87 in Science, 89 in English, 95 in History, and 81 in Computer, totaling 431 marks with Grade B. Attendance stands at 85.58 percent. Participates in Music as an extracurricular activity.
Student S15661 named Carla Williams, age 16, gender Female, is in Class 8. Scored 82 in Math, 31 in Science, 85 in English, 63 in History, and 38 in Computer, totaling 299 marks with Grade D. Attendance stands at 60.80 percent. Participates in None as an extracurricular activity.
Student S15673 named Tanya Taylor, age 15, gender Female, is in Class 8. Scored 31 in Math, 75 in Science, 65 in English, 74 in History, and 56 in Computer, totaling 301 marks with Grade C. Attendance stands at 90.55 percent. Participates in Football as an extracurricular activity.
Student S15702 named Jimmy Tran MD, age 12, gender Female, is in Class 8. Scored 33 in Math, 85 in Science, 60 in English, 69 in History, and 76 in Computer, totaling 323 marks with Grade C. Attendance stands at 97.85 percent. Participates in Debate as an extracurricular activity.
Student S15726 named Jacob Sloan, age 14, gender Female, is in Class 8. Scored 98 in Math, 89 in Science, 35 in English, 71 in History, and 33 in Computer, totaling 326 marks with Grade C. Attendance stands at 69.41 percent. Participates in Debate as an extracurricular activity.
Student S15742 named Cody Simon, age 10, gender Male, is in Class 8. Scored 54 in Math, 72 in Science, 72 in English, 95 in History, and 42 in Computer, totaling 335 marks with Grade C. Attendance stands at 90.38 percent. Participates in Debate as an extracurricular activity.
Student S15747 named William Bishop, age 14, gender Male, is in Class 8. Scored 76 in Math, 60 in Science, 56 in English, 94 in History, and 87 in Computer, totaling 373 marks with Grade C. Attendance stands at 80.18 percent. Participates in Football as an extracurricular activity.
Student S15749 named Barbara Maddox, age 15, gender Female, is in Class 8. Scored 57 in Math, 50 in Science, 53 in English, 34 in History, and 88 in Computer, totaling 282 marks with Grade D. Attendance stands at 98.61 percent. Participates in Drama as an extracurricular activity.
Student S15750 named Christopher Nichols, age 10, gender Male, is in Class 8. Scored 91 in Math, 94 in Science, 85 in English, 42 in History, and 56 in Computer, totaling 368 marks with Grade C. Attendance stands at 77.36 percent. Participates in Debate as an extracurricular activity.
Student S15756 named Michelle Rose, age 13, gender Male, is in Class 8. Scored 93 in Math, 42 in Science, 38 in English, 56 in History, and 67 in Computer, totaling 296 marks with Grade D. Attendance stands at 99.69 percent. Participates in Drama as an extracurricular activity.
Student S15759 named Shaun Schroeder, age 12, gender Female, is in Class 8. Scored 83 in Math, 58 in Science, 51 in English, 79 in History, and 86 in Computer, totaling 357 marks with Grade C. Attendance stands at 96.76 percent. Participates in Dance as an extracurricular activity.
Student S15775 named William Lane, age 17, gender Female, is in Class 8. Scored 84 in Math, 31 in Science, 43 in English, 84 in History, and 59 in Computer, totaling 301 marks with Grade C. Attendance stands at 98.50 percent. Participates in Football as an extracurricular activity.
Student S15777 named Andrea Griffin, age 11, gender Female, is in Class 8. Scored 60 in Math, 35 in Science, 94 in English, 85 in History, and 51 in Computer, totaling 325 marks with Grade C. Attendance stands at 76.29 percent. Participates in Debate as an extracurricular activity.
Student S15783 named Samuel Harmon, age 17, gender Male, is in Class 8. Scored 33 in Math, 97 in Science, 32 in English, 70 in History, and 65 in Computer, totaling 297 marks with Grade D. Attendance stands at 85.77 percent. Participates in Football as an extracurricular activity.
Student S15786 named Allen Nash, age 12, gender Male, is in Class 8. Scored 37 in Math, 88 in Science, 92 in English, 64 in History, and 70 in Computer, totaling 351 marks with Grade C. Attendance stands at 75.13 percent. Participates in Debate as an extracurricular activity.
Student S15788 named Dylan Ortega, age 12, gender Male, is in Class 8. Scored 34 in Math, 69 in Science, 32 in English, 80 in History, and 88 in Computer, totaling 303 marks with Grade C. Attendance stands at 81.00 percent. Participates in Music as an extracurricular activity.
