Student S10000 named Brianna Smith, age 16, gender Female, is in Class 12. Scored 47 in Math, 85 in Science, 67 in English, 68 in History, and 81 in Computer, totaling 348 marks with Grade C. Attendance stands at 61.70 percent. Participates in None as an extracurricular activity.
Student S16187 named Denise Hamilton, age 14, gender Female, is in Class 12. Scored 52 in Math, 97 in Science, 51 in English, 44 in History, and 44 in Computer, totaling 288 marks with Grade D. Attendance stands at 83.27 percent. Participates in Music as an extracurricular activity.
Student S16192 named Stephen Marsh DDS, age 17, gender Female, is in Class 12. Scored 53 in Math, 33 in Science, 33 in English, 85 in History, and 65 in Computer, totaling 269 marks with Grade D. Attendance stands at 81.38 percent. Participates in Debate as an extracurricular activity.
Student S16194 named Ronald Contreras, age 12, gender Female, is in Class 12. Scored 55 in Math, 45 in Science, 79 in English, 73 in History, and 76 in Computer, totaling 328 marks with Grade C. Attendance stands at 97.22 percent. Participates in Debate as an extracurricular activity.
Student S16205 named Sandra Brown, age 13, gender Male, is in Class 12. Scored 70 in Math, 38 in Science, 87 in English, 93 in History, and 73 in Computer, totaling 361 marks with Grade C. Attendance stands at 60.42 percent. Participates in Dance as an extracurricular activity.
Student S16208 named Dennis Olsen, age 17, gender Female, is in Class 12. Scored 42 in Math, 84 in Science, 48 in English, 97 in History, and 74 in Computer, totaling 345 marks with Grade C. Attendance stands at 76.68 percent. Participates in None as an extracurricular activity.
Student S16223 named Wendy Campbell, age 17, gender Female, is in Class 12. Scored 48 in Math, 56 in Science, 31 in English, 54 in History, and 60 in Computer, totaling 249 marks with Grade D. Attendance stands at 61.52 percent. Participates in Drama as an extracurricular activity.
Student S16236 named Elizabeth Beck, age 15, gender Female, is in Class 12. Scored 62 in Math, 38 in Science, 43 in English, 45 in History, and 81 in Computer, totaling 269 marks with Grade D. Attendance stands at 77.64 percent. Participates in Debate as an extracurricular activity.
Student S16241 named Michelle Davila, age 17, gender Female, is in Class 12. Scored 39 in Math, 37 in Science, 35 in English, 58 in History, and 95 in Computer, totaling 264 marks with Grade D. Attendance stands at 96.82 percent. Participates in Football as an extracurricular activity.
Student S16254 named Gary Wheeler, age 16, gender Female, is in Class 12. Scored 59 in Math, 97 in Science, 82 in English, 84 in History, and 48 in Computer, totaling 370 marks with Grade C. Attendance stands at 73.08 percent. Participates in Drama as an extracurricular activity.
Student S16258 named Douglas Washington, age 12, gender Male, is in Class 12. Scored 42 in Math, 38 in Science, 32 in English, 73 in History, and 87 in Computer, totaling 272 marks with Grade D. Attendance stands at 61.46 percent. Participates in Football as an extracurricular activity.
Student S16261 named Brenda Mcdonald, age 14, gender Male, is in Class 12. Scored 90 in Math, 60 in Science, 90 in English, 70 in History, and 46 in Computer, totaling 356 marks with Grade C. Attendance stands at 85.53 percent. Participates in Dance as an extracurricular activity.
Student S16263 named Victor Alvarez, age 11, gender Female, is in Class 12. Scored 53 in Math, 72 in Science, 95 in English, 95 in History, and 34 in Computer, totaling 349 marks with Grade C. Attendance stands at 86.55 percent. Participates in Dance as an extracurricular activity.
Student S16277 named Joan Mercer, age 14, gender Female, is in Class 12. Scored 64 in Math, 50 in Science, 93 in English, 60 in History, and 93 in Computer, totaling 360 marks with Grade C. Attendance stands at 82.88 percent. Participates in Drama as an extracurricular activity.
Student S16284 named Donald Davis, age 11, gender Male, is in Class 12. Scored 83 in Math, 71 in Science, 69 in English, 57 in History, and 34 in Computer, totaling 314 marks with Grade C. Attendance stands at 77.39 percent. Participates in Music as an extracurricular activity.
Student S16291 named Steven Williamson, age 14, gender Male, is in Class 12. Scored 41 in Math, 57 in Science, 98 in English, 60 in History, and 37 in Computer, totaling 293 marks with Grade D. Attendance stands at 68.41 percent. Participates in None as an extracurricular activity.
Student S16297 named Glenn Gaines, age 13, gender Female, is in Class 12. Scored 92 in Math, 67 in Science, 66 in English, 62 in History, and 84 in Computer, totaling 371 marks with Grade C. Attendance stands at 77.53 percent. Participates in Football as an extracurricular activity.
Student S16315 named Kelly Hall, age 13, gender Male, is in Class 12. Scored 91 in Math, 65 in Science, 95 in English, 89 in History, and 70 in Computer, totaling 410 marks with Grade B. Attendance stands at 89.96 percent. Participates in None as an extracurricular activity.
Student S16330 named Daniel Romero, age 14, gender Male, is in Class 12. Scored 68 in Math, 97 in Science, 56 in English, 30 in History, and 50 in Computer, totaling 301 marks with Grade C. Attendance stands at 72.18 percent. Participates in Debate as an extracurricular activity.
Student S16348 named Brad Richmond, age 15, gender Male, is in Class 12. Scored 81 in Math, 80 in Science, 77 in English, 64 in History, and 52 in Computer, totaling 354 marks with Grade C. Attendance stands at 80.21 percent. Participates in Drama as an extracurricular activity.
Student S16364 named Christopher Lin, age 16, gender Female, is in Class 12. Scored 63 in Math, 79 in Science, 67 in English, 86 in History, and 81 in Computer, totaling 376 marks with Grade C. Attendance stands at 60.68 percent. Participates in Football as an extracurricular activity.
Student S16389 named William Green, age 11, gender Male, is in Class 12. Scored 44 in Math, 70 in Science, 88 in English, 49 in History, and 99 in Computer, totaling 350 marks with Grade C. Attendance stands at 74.09 percent. Participates in Football as an extracurricular activity.
Student S16392 named Grant Reyes, age 13, gender Male, is in Class 12. Scored 30 in Math, 97 in Science, 62 in English, 67 in History, and 95 in Computer, totaling 351 marks with Grade C. Attendance stands at 70.28 percent. Participates in Dance as an extracurricular activity.
Student S16397 named Danny Trevino, age 14, gender Female, is in Class 12. Scored 53 in Math, 96 in Science, 91 in English, 93 in History, and 75 in Computer, totaling 408 marks with Grade B. Attendance stands at 88.46 percent. Participates in Football as an extracurricular activity.
Student S16408 named Nicholas Washington, age 10, gender Female, is in Class 12. Scored 88 in Math, 90 in Science, 33 in English, 96 in History, and 90 in Computer, totaling 397 marks with Grade C. Attendance stands at 93.52 percent. Participates in Drama as an extracurricular activity.
Student S16409 named Gary Roman, age 16, gender Female, is in Class 12. Scored 76 in Math, 50 in Science, 60 in English, 63 in History, and 96 in Computer, totaling 345 marks with Grade C. Attendance stands at 87.18 percent. Participates in Football as an extracurricular activity.
Student S16424 named Timothy Williamson, age 15, gender Female, is in Class 12. Scored 42 in Math, 71 in Science, 50 in English, 31 in History, and 43 in Computer, totaling 237 marks with Grade D. Attendance stands at 92.24 percent. Participates in None as an extracurricular activity.
Student S16433 named Lindsey James, age 12, gender Male, is in Class 12. Scored 70 in Math, 35 in Science, 33 in English, 62 in History, and 56 in Computer, totaling 256 marks with Grade D. Attendance stands at 80.79 percent. Participates in Debate as an extracurricular activity.
Student S16445 named Carol Flores, age 10, gender Male, is in Class 12. Scored 61 in Math, 79 in Science, 63 in English, 88 in History, and 57 in Computer, totaling 348 marks with Grade C. Attendance stands at 85.18 percent. Participates in Drama as an extracurricular activity.
Student S16451 named Randy Harrington, age 12, gender Female, is in Class 12. Scored 55 in Math, 94 in Science, 63 in English, 52 in History, and 75 in Computer, totaling 339 marks with Grade C. Attendance stands at 87.91 percent. Participates in Football as an extracurricular activity.
Student S16452 named Justin Tanner, age 14, gender Male, is in Class 12. Scored 32 in Math, 64 in Science, 61 in English, 83 in History, and 62 in Computer, totaling 302 marks with Grade C. Attendance stands at 76.59 percent. Participates in Football as an extracurricular activity.
Student S16456 named Grace Sherman, age 12, gender Male, is in Class 12. Scored 67 in Math, 88 in Science, 66 in English, 68 in History, and 34 in Computer, totaling 323 marks with Grade C. Attendance stands at 71.96 percent. Participates in None as an extracurricular activity.
Student S16483 named Raymond Perkins, age 12, gender Female, is in Class 12. Scored 35 in Math, 59 in Science, 62 in English, 55 in History, and 51 in Computer, totaling 262 marks with Grade D. Attendance stands at 66.07 percent. Participates in Football as an extracurricular activity.
Student S16506 named Nathaniel Oconnell, age 17, gender Female, is in Class 12. Scored 85 in Math, 70 in Science, 69 in English, 85 in History, and 52 in Computer, totaling 361 marks with Grade C. Attendance stands at 66.06 percent. Participates in Football as an extracurricular activity.
Student S16529 named James Lam, age 15, gender Female, is in Class 12. Scored 30 in Math, 43 in Science, 86 in English, 82 in History, and 51 in Computer, totaling 292 marks with Grade D. Attendance stands at 92.92 percent. Participates in None as an extracurricular activity.
Student S16541 named Mr. Jose Hampton, age 13, gender Female, is in Class 12. Scored 46 in Math, 57 in Science, 46 in English, 59 in History, and 51 in Computer, totaling 259 marks with Grade D. Attendance stands at 72.39 percent. Participates in Drama as an extracurricular activity.
Student S16546 named Melvin Lopez, age 14, gender Female, is in Class 12. Scored 80 in Math, 35 in Science, 69 in English, 49 in History, and 43 in Computer, totaling 276 marks with Grade D. Attendance stands at 82.89 percent. Participates in Debate as an extracurricular activity.
Student S16549 named Kimberly Lane, age 13, gender Male, is in Class 12. Scored 35 in Math, 95 in Science, 94 in English, 45 in History, and 90 in Computer, totaling 359 marks with Grade C. Attendance stands at 75.31 percent. Participates in Music as an extracurricular activity.
Student S16559 named Dylan Hernandez DVM, age 11, gender Male, is in Class 12. Scored 66 in Math, 87 in Science, 53 in English, 32 in History, and 88 in Computer, totaling 326 marks with Grade C. Attendance stands at 60.39 percent. Participates in Music as an extracurricular activity.
Student S16566 named Lori Adams, age 10, gender Female, is in Class 12. Scored 49 in Math, 68 in Science, 32 in English, 62 in History, and 77 in Computer, totaling 288 marks with Grade D. Attendance stands at 96.84 percent. Participates in Dance as an extracurricular activity.
Student S16578 named Karen May, age 14, gender Female, is in Class 12. Scored 74 in Math, 69 in Science, 60 in English, 80 in History, and 71 in Computer, totaling 354 marks with Grade C. Attendance stands at 74.52 percent. Participates in Drama as an extracurricular activity.
